comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
남해화학,3.5,7.5,4.0,6.0,4.5,7.5,3.5,5.5
에스비에스,4.0,7.0,4.0,6.0,4.0,6.0,4.0,6.0
광동제약,2.5,4.5,4.0,6.0,4.5,7.5,3.5,5.5
유니드,4.5,6.5,4.5,7.5,3.5,5.5,4.0,6.0
한진중공업,4.0,6.0,4.0,7.0,4.0,6.0,3.5,6.5
현대리바트,2.5,4.5,3.0,5.0,3.5,6.5,4.0,6.0
팜스코,2.5,4.5,4.0,7.0,4.5,7.5,3.5,5.5
한솔테크닉스,2.5,4.5,2.5,4.5,4.5,7.5,4.0,6.0
경방,2.5,4.5,3.5,6.5,4.0,6.0,4.5,6.5
보령제약,2.5,4.5,4.5,6.5,4.5,7.5,3.5,5.5
