comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
대림산업,4.0,7.0,4.5,7.5,3.5,6.5,4.5,6.5
지에스리테일,4.5,6.5,2.5,4.5,4.5,6.5,3.5,5.5
메리츠종합금융증권,4.5,6.5,2.5,4.5,3.5,5.5,3.0,5.0
두산,2.5,4.5,4.0,8.0,4.5,7.5,4.0,6.0
롯데제과,2.5,4.5,4.5,7.5,3.5,5.5,4.0,6.0
현대산업개발,4.0,6.0,4.0,8.0,4.0,6.0,4.0,6.0
OCI,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
포스코대우,4.5,6.5,4.5,7.5,4.0,6.0,4.5,6.5
동서,4.0,7.0,4.5,6.5,4.5,7.5,4.5,7.5
유한양행,4.5,7.5,4.5,6.5,4.0,6.0,4.5,6.5
LS,3.5,5.5,2.5,5.5,3.5,5.5,3.5,5.5
오뚜기,2.5,4.5,2.5,7.5,4.0,6.0,4.0,6.0
금호석유화학,4.5,6.5,2.5,6.5,4.5,7.5,4.5,7.5
만도,4.5,6.5,4.5,7.5,4.5,6.5,3.5,6.5
호텔신라,2.5,4.5,4.0,6.0,3.5,5.5,3.0,5.0
영풍,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
녹십자,3.5,5.5,4.0,6.0,3.5,5.5,3.5,5.5
제일기획,2.5,4.5,4.0,6.0,4.0,6.0,4.5,6.5
농심,2.5,4.5,2.5,6.5,4.0,6.0,3.5,6.5
현대백화점,2.5,4.5,2.5,5.5,3.5,5.5,4.5,6.5
GS건설,4.5,7.5,2.5,4.5,3.5,5.5,3.5,5.5
현대미포조선,3.5,6.5,2.5,5.5,4.0,6.0,4.0,6.0
한국타이어월드와이드,2.5,4.5,2.5,4.5,4.0,6.0,4.0,6.0
한화테크윈,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
코오롱인더스트리,4.0,6.0,4.0,6.0,3.5,5.5,3.5,5.5
한전KPS,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
일진머티리얼즈,4.5,6.5,3.5,5.5,3.5,5.5,3.5,5.5
영진약품,2.5,4.5,3.5,6.5,4.5,7.5,3.5,5.5
두산중공업,3.0,7.0,2.5,4.5,4.0,6.0,3.5,5.5
신세계,2.5,4.5,4.5,7.5,3.5,5.5,4.5,6.5
롯데칠성음료,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
SK네트웍스,4.5,6.5,3.0,8.0,3.5,5.5,3.5,5.5
두산인프라코어,4.0,6.0,2.5,6.5,4.0,6.0,3.5,6.5
하이트진로,3.5,5.5,2.5,4.5,4.5,7.5,4.5,6.5
LS산전,2.5,4.5,3.0,5.0,3.5,5.5,3.5,5.5
